,essay_index,text_id,cohesion,syntax,vocabulary,phraseology,grammar,conventions
35,621,2EF984473EC5,2.5,3.0,2.5,2.5,2.5,2.5
36,748,39929B24673E,3.0,3.0,3.0,2.0,2.5,3.0
37,1239,5FC620AEDC8B,3.0,3.0,2.5,2.5,2.5,2.5
38,224,10D0BBF44479,2.5,2.5,3.0,2.0,2.0,3.0
39,398,1E176F592611,2.5,2.5,3.0,2.5,2.5,3.0
40,3101,DBCAB09E41C7,2.5,3.0,3.5,2.5,2.0,3.0
41,682,3498E7E2DAB6,2.5,3.0,3.0,3.5,2.0,3.0
42,1318,6531927DF837,4.5,4.0,4.5,4.0,4.5,4.5
43,3794,FAC16838327F,3.5,3.0,3.5,3.5,3.5,3.5
44,1806,882F6EC806E9,2.5,2.0,2.5,3.0,2.0,3.0
45,958,49605B65EA8D,3.0,2.5,3.0,2.5,3.5,2.5
46,1583,78EA0C3715FE,4.5,4.0,3.5,4.0,3.5,4.0
47,2836,CE7E3C75BAF8,3.5,4.0,4.0,3.5,3.5,4.0
48,499,25BFEA75C65A,3.0,3.5,3.0,3.0,3.5,4.0
49,2235,A72FE8731B45,3.5,4.0,4.0,4.0,3.5,3.0
50,381,1CFAD594A087,3.0,3.0,3.5,4.0,4.0,3.0
51,3045,D99C71A15BA0,2.5,2.5,3.0,3.0,2.0,2.5
52,347,1A17F32415FD,2.0,2.0,3.0,2.5,2.5,2.5
53,2788,CBFEE0C81C5E,3.5,3.5,3.0,3.5,3.5,2.5
54,3328,E69D5E1FEAB4,2.0,3.0,2.5,3.0,2.5,2.0
55,311,16C3B49CFB43,2.5,2.5,3.0,2.5,2.5,2.5
56,501,25FA30699A04,4.5,4.0,4.0,4.0,4.5,4.5
57,2396,B2055DB7B29E,3.5,3.0,3.0,3.0,2.5,3.0
58,1174,5ADD410B9783,3.0,2.5,2.5,2.5,2.0,2.5
59,1601,7A239E4D1966,4.0,3.5,4.0,3.5,3.0,3.0
60,142,0AFAD06336F3,3.5,3.5,3.0,3.5,3.5,3.0
61,2923,D2C9C1EE55F2,3.0,2.0,3.0,3.0,2.5,3.0
62,3013,D7E4E0A1B943,2.5,2.0,2.0,2.0,2.0,2.0
63,3190,E0538F7AB083,2.5,2.5,3.0,2.5,3.5,2.5
64,690,34F016931102,3.5,3.0,3.5,3.5,3.5,3.0
65,2337,AD9CEE5A6FFF,3.0,3.0,3.0,3.0,3.0,2.5
66,452,221BA383246D,4.5,3.0,3.5,3.5,3.5,4.0
67,3742,F9072F36ECE7,3.0,2.5,3.5,3.0,3.0,3.5
68,1276,61E85C09E36D,2.5,2.5,3.0,2.5,2.0,2.5
69,735,38B60A8516C2,3.0,3.0,3.5,4.0,3.5,4.0
70,706,3651697D855B,3.5,3.0,4.0,3.5,3.0,3.5
71,1523,753E320B186B,2.0,2.0,3.5,2.5,2.0,2.5
72,2519,BB240E6FF61F,5.0,4.0,5.0,5.0,4.0,4.5
73,841,40AA29D2F32B,3.0,3.0,3.0,4.0,3.5,3.0
74,666,33CCEE3933ED,3.5,3.0,3.0,2.5,3.0,3.5
75,1768,85E3C840FCBF,2.5,3.0,3.0,2.5,3.5,3.0
76,3120,DCB1A6F255A8,3.5,3.0,3.5,3.5,3.5,2.5
77,2331,AD53B357BD0D,4.5,4.5,4.5,4.5,4.5,4.5
78,1084,52F9582F9C86,4.0,3.5,4.0,4.0,4.0,3.5
79,905,457A4416559B,2.0,2.5,2.5,2.0,2.0,2.5
80,2326,AD095F1ADE0A,3.0,3.0,2.5,2.0,2.0,2.5
81,675,3438C0C5ACEA,5.0,4.0,4.0,4.5,5.0,4.5
82,562,2B015051803E,3.0,4.0,3.0,2.5,3.0,2.5
83,663,33ADAAB38BFC,3.5,3.5,3.5,3.0,4.0,3.0
84,3702,F792FE4DCF1A,3.5,3.0,3.0,3.5,3.5,3.0
85,1377,6A00BED6B62D,3.0,3.5,3.0,2.5,3.0,3.0
86,2204,A47106D7B784,3.5,3.5,2.5,3.5,3.5,3.0
87,1051,5056C7637313,2.5,3.0,3.0,2.0,2.0,2.5
88,1931,915D8BF74963,4.0,3.5,3.5,3.0,3.5,3.5
89,3586,F22FE8D7FA16,3.0,2.0,3.5,3.5,3.0,3.0
90,2448,B5FF33681C22,3.0,3.0,3.5,3.5,3.0,3.5
91,3523,EFD7D87EF4C9,3.5,3.5,4.0,3.5,3.5,3.5
92,3319,E5B3346016BA,3.5,3.5,3.5,3.0,3.0,3.0
93,2549,BD951BF14177,3.0,3.0,3.0,2.5,3.5,3.5
94,2764,CAA2C4C4E79C,3.0,4.0,3.5,4.0,4.0,4.0
95,3296,E4BBB2E44D64,4.0,3.5,4.0,3.5,2.5,3.5
96,2372,B03AB7243AE5,3.5,3.0,3.0,4.0,3.5,3.5
97,530,28661F47D728,3.0,2.0,2.5,2.5,2.0,2.0
98,3212,E0EEC1CE4679,3.5,3.0,3.0,2.5,3.0,2.0
99,517,277A95AC0190,3.0,3.5,3.5,3.5,4.0,3.0
100,3261,E2F71EA3C3FE,2.0,3.0,3.0,2.5,3.0,2.5
101,1772,861B660C2E86,3.0,2.5,3.0,3.0,3.0,2.0
102,900,451E8369BB76,3.0,2.0,2.5,2.5,2.5,2.5
103,3589,F27DE7F7F3AB,2.0,2.0,2.5,2.0,2.5,2.0
104,2570,BF01FFEF8CB3,3.5,3.0,3.0,3.0,3.0,4.0
105,712,36B2E183713B,3.0,3.5,4.0,4.0,3.0,3.5
106,3573,F1A5FE43ADD0,3.0,3.0,3.0,3.0,2.5,3.5
107,1540,767533E12569,1.0,1.0,1.0,1.0,1.0,1.0
108,1515,74CDAF3BB9EF,3.5,2.5,3.0,3.0,2.5,2.5
109,3809,FBB5F20E7554,2.5,2.5,3.0,2.5,2.0,3.5
110,418,1FB9B9E08786,4.0,3.0,3.0,3.0,3.0,4.0
111,2224,A5E9417DBC88,2.5,3.0,3.0,2.0,2.5,2.0
112,229,10DA9316D02D,2.5,2.5,3.0,2.5,2.5,3.0
113,768,3B851F58BCDC,3.0,2.5,3.0,2.5,2.5,3.0
114,302,161F2D351A92,2.5,2.5,3.0,2.5,2.5,2.5
115,1015,4DD1ED4D20D2,3.0,3.0,3.5,3.5,3.0,3.5
116,3830,FCC2991C1760,3.5,3.0,3.5,4.0,3.5,3.0
117,3469,ED57CFEC1CF1,2.5,2.0,2.5,2.0,2.0,2.0
118,1451,6F9741277AB3,3.0,3.0,3.0,3.0,3.0,3.0
119,1068,51DD6A82BD9D,3.0,2.5,3.5,3.0,3.5,3.0
120,977,4AC16314867E,2.5,2.5,3.0,2.5,3.5,3.0
121,979,4AF3A09B2EF7,4.0,4.0,3.5,4.0,3.5,4.0
122,2895,D1769512AB23,2.5,2.0,2.0,2.0,2.0,2.0
123,2166,A1D0490FD324,3.5,3.0,3.5,3.5,3.5,2.5
124,480,24615FD199BE,3.0,3.0,3.0,3.0,4.0,3.5
125,3185,E0209F1D5DF6,2.5,2.0,3.0,2.5,2.5,3.0
126,346,1A039B3091BA,3.0,2.5,2.5,2.5,2.5,2.0
127,2106,9E2645222231,3.5,3.5,4.0,3.5,3.0,4.0
128,1330,66133AC6189A,3.0,2.5,2.5,2.5,3.0,3.0
129,3244,E23EF596D2B8,2.5,2.5,3.0,2.5,2.0,2.5
130,489,253108CDC69F,4.0,3.0,3.0,4.0,3.5,4.0
131,1358,685ABA004ADB,4.0,3.5,4.0,3.5,3.5,4.0
132,2205,A484FD45778A,3.5,3.0,3.0,3.0,3.0,3.0
133,1047,4FE6EABBFC00,5.0,4.5,4.0,4.5,4.0,4.5
134,154,0BB7AF7A448C,3.0,3.0,3.0,2.5,2.0,2.5
135,1116,5666CD4AA5CD,4.0,3.0,3.5,3.5,3.0,3.0
136,2125,9F1230B269C1,3.5,3.0,3.0,3.5,2.5,2.5
137,1023,4E443B00DBFA,3.0,2.5,3.5,2.5,3.0,2.0
138,961,49718724CB84,4.0,3.0,4.0,3.5,3.0,3.5
139,3078,DAD5BCDAB7DD,3.5,3.0,3.5,2.5,3.5,3.5
140,3354,E7F9A77683D2,2.5,2.5,3.0,3.0,3.5,3.0
141,727,38203808F81B,4.0,3.5,3.5,3.5,4.0,4.0
142,1414,6CA2ADCE9A7F,3.0,2.5,3.0,3.0,3.0,3.0
143,2790,CC10B6160941,3.0,3.5,3.5,3.0,3.0,3.5
144,402,1E6F7CF7470E,2.5,3.0,3.0,3.0,2.5,3.0
145,2654,C465964DA6D5,3.0,3.0,3.0,3.0,2.5,3.0
146,2565,BEC3906A1122,3.0,4.0,4.0,3.5,3.5,3.5
147,1013,4DBF966A37CA,2.5,2.5,3.0,2.0,2.5,2.5
148,2891,D159EE3218BC,3.5,4.0,3.5,4.0,4.0,3.5
149,3508,EF47AB98271A,3.0,3.0,4.0,3.5,3.0,3.0
150,2984,D61FC9795679,3.0,3.0,3.0,3.0,3.0,3.5
151,635,307D618AF467,3.5,3.0,3.5,3.5,3.0,3.5
152,3819,FC33EC420C9E,3.0,2.5,2.5,2.5,2.5,2.0
153,188,0E3C1F059C31,3.0,3.0,3.5,3.5,3.5,3.0
154,2971,D57EBE64C7A2,2.0,2.0,3.0,2.0,2.5,2.0
155,2979,D5C7AA1266CC,3.0,3.5,3.5,3.5,3.5,3.0
156,15,01350DF42AED,2.0,2.0,2.0,2.0,2.0,2.0
157,3096,DBAE7F4F7837,3.0,3.0,3.5,3.0,3.5,3.5
158,2722,C8620D9D22DC,3.0,2.5,3.0,2.5,3.0,3.0
159,3799,FB1A86FB4BFC,3.0,3.5,3.0,3.0,3.5,3.5
160,3885,FF13996AB0B3,3.5,3.5,3.5,4.0,3.0,3.5
161,3474,ED937FC56246,3.5,3.5,3.5,3.5,3.5,3.0
162,177,0D807ABE1BB3,2.5,2.5,3.5,3.5,3.0,3.5
163,3226,E1AE7FDD072F,4.0,3.5,3.5,4.0,4.0,3.0
164,2625,C270D47D709B,3.0,2.5,2.5,3.5,2.5,3.0
165,2115,9E96EB0152A6,3.0,3.5,4.0,4.0,3.5,3.5
166,1587,791AF7B78178,3.0,3.5,3.0,3.5,3.0,3.5
167,1761,857B7FB712ED,2.5,2.0,3.0,2.5,2.5,2.0
168,3691,F737FB396F2E,2.5,2.5,2.5,2.5,3.0,3.0
169,3202,E0B4FCC6FD58,3.0,2.5,3.0,3.0,3.5,3.0
170,3803,FB5F33FEC99F,4.0,3.5,4.0,4.0,4.0,3.0
171,383,1D2C46F51793,2.5,3.0,3.0,2.5,3.0,3.0
172,3184,DFD93C26F453,2.0,2.5,3.0,3.0,3.5,2.5
173,3619,F440ECCF9E67,2.0,2.5,2.0,2.5,2.5,2.5
174,2906,D1D770AF6855,4.0,3.5,5.0,4.5,3.5,4.0
175,2875,D06C0F3D5553,3.5,3.0,3.0,3.0,3.0,3.5
176,2490,B948405746B5,4.0,4.0,4.0,3.5,2.5,3.0
177,2563,BE6A28051A30,3.0,2.0,2.5,2.5,2.0,3.5
178,159,0C1EDBE2EEC3,4.0,4.0,4.0,4.0,3.5,3.0
179,3267,E312449DF480,3.0,3.0,3.0,3.5,3.5,4.0
180,3800,FB2840C4B789,2.5,2.0,2.5,3.0,2.5,2.0
181,2188,A366CC7B0D05,4.0,3.5,4.0,3.5,3.5,3.5
182,1376,69FF884BCEA1,2.5,2.0,2.5,2.0,2.0,2.0
183,643,31490B1FA765,2.5,2.0,3.0,2.5,2.5,2.5
184,156,0BDADA3AFF77,3.0,3.0,3.0,3.0,3.0,3.5
185,2175,A28940CA5863,3.5,3.0,3.0,3.5,3.0,3.5
186,1248,605C1B4CE788,2.5,2.5,3.0,2.5,2.5,2.0
187,2085,9C9C4EECA979,3.0,3.0,2.5,3.0,2.5,3.5
188,104,07CE77EA56C5,5.0,5.0,5.0,5.0,4.5,4.5
189,1037,4F5775B0B88D,3.5,3.5,3.5,3.5,4.0,3.0
190,3105,DBF44F842C57,3.0,2.5,2.0,2.0,2.5,2.0
191,3258,E2E6984894BC,2.0,2.5,2.5,2.5,2.5,2.0
192,1632,7C08DA95AE9A,3.0,3.0,3.0,2.5,2.5,3.0
193,3229,E1B9CAF68CA7,4.0,3.0,3.5,3.5,3.5,4.0
194,1273,61B9D7E74839,2.5,2.5,3.0,2.0,2.5,2.0
195,3323,E6338A929654,4.5,4.0,4.0,4.0,3.5,3.5
196,519,279245CFCCF4,3.0,3.5,3.5,4.0,3.5,3.0
197,3579,F1CB29904BBD,2.5,3.0,2.5,3.0,2.5,2.5
198,3891,FF66DA76E15F,3.0,3.0,3.5,4.0,3.5,3.0
199,1347,67DD73D48474,2.5,2.5,3.0,2.5,2.5,3.0
200,677,344D7B1A7E49,3.5,4.0,3.5,3.0,3.0,4.0
201,1139,584C6453CA5A,2.5,3.0,2.0,2.5,3.0,2.5
202,3018,D84024335230,3.5,3.5,3.5,3.5,3.0,4.0
203,2094,9D9B85A82575,2.5,2.0,3.0,2.5,2.0,3.0
204,2619,C2343290CC89,2.5,3.0,3.5,3.5,4.0,3.0
205,1256,60CCF0F2DF38,3.0,3.5,3.0,3.5,3.5,3.5
206,405,1EB4D8BFB732,3.0,3.5,4.0,4.0,3.5,3.0
207,1128,57A750437C3A,4.0,3.0,4.0,3.0,3.0,3.0
208,3525,EFDC396D9F7A,2.5,2.5,3.0,3.0,2.5,2.0
209,483,24C508ED6FE2,3.0,3.0,3.5,2.5,3.0,3.0
210,2567,BEE8F91F40E7,3.5,2.5,3.5,3.5,3.5,3.5
211,1530,75B44E3CE6DD,4.0,4.0,3.5,3.5,3.5,3.5
212,3764,FA0619D6A0DF,4.0,4.0,4.0,4.0,4.0,3.5
213,918,46977B27324C,3.5,4.0,4.0,4.0,3.5,4.0
214,461,22D02123C65D,3.0,3.0,3.0,3.5,3.0,3.0
215,1590,7949A941BF0F,4.0,3.5,4.0,4.0,2.5,4.0
216,793,3DB503D247B3,3.0,3.5,3.5,4.0,3.5,3.0
217,245,120FE0B76D5C,3.5,3.5,3.5,3.0,4.0,4.0
218,1944,92E97E947628,3.5,3.0,3.0,3.5,3.0,3.5
219,2594,C05745235FE7,3.5,4.0,4.0,3.5,4.0,3.0
220,2329,AD19BF721C0F,2.5,2.5,3.5,2.5,3.0,3.0
221,710,36A5035117B4,3.0,3.0,2.5,2.5,3.0,3.0
222,1713,81D266D94D6D,4.5,4.0,4.5,5.0,3.5,5.0
223,493,25597135F582,3.5,3.5,4.0,3.5,3.5,3.5
224,2424,B407B3F81C9F,3.0,3.5,3.5,4.0,4.0,4.0
225,1362,68E75FD12673,4.0,4.0,3.0,3.5,4.0,4.0
226,3703,F79EB8CBE0FE,3.5,2.0,3.0,2.0,2.0,3.0
227,175,0D5DA97CCEAE,3.0,3.5,3.0,3.0,2.5,3.0
228,3689,F72B3EE2E414,3.5,2.5,3.0,2.5,3.0,3.5
229,2203,A46DA0EA4F5D,2.5,2.0,3.0,2.0,2.5,2.5
230,944,4843C41AAF24,3.0,3.0,3.0,3.0,3.5,3.0
231,678,34553E598A00,2.5,2.0,3.0,2.0,2.5,2.0
232,1887,8E5E6211E4D6,3.0,3.0,3.5,3.5,3.5,3.0
233,864,424005E31A04,3.0,4.0,4.0,3.0,3.0,3.0
234,2694,C693AA305835,3.0,3.0,3.0,3.5,3.0,3.0
235,2879,D0A218161D37,3.0,3.0,3.0,3.0,3.0,3.5
236,764,3B2DADB10DCA,3.0,3.5,3.0,2.5,2.5,2.5
237,923,46EC00DDBCF9,2.0,2.5,2.5,3.0,2.0,2.0
238,938,47DD29AF666C,3.0,2.0,2.5,2.0,2.0,2.0
239,1009,4D816E688FBD,3.5,3.0,3.0,3.0,2.0,3.5
240,3773,FA314E23647E,3.0,2.0,2.5,2.0,2.0,2.0
241,728,3821238FE334,3.5,3.0,3.5,2.5,3.0,2.5
242,3496,EEE6067CF9B5,2.0,2.0,2.5,2.5,2.5,2.5
243,1947,92F7DD653EFB,4.0,3.0,3.5,2.0,3.0,3.0
244,641,3134FDB9DB86,3.0,2.5,3.0,2.5,2.0,2.0
245,879,43AE9E4D0EFC,3.0,2.5,3.0,3.5,2.5,3.0
246,3318,E597A35FA323,2.0,2.5,2.5,2.5,2.5,2.5
247,3707,F7CBE1D11BF8,3.5,3.5,3.0,3.0,4.0,4.0
248,1412,6C991A1A6C39,2.0,2.0,2.0,2.0,2.5,3.0
249,3227,E1B279EE81AE,2.5,2.0,3.0,2.0,2.0,2.5
250,2658,C49F716838E7,3.5,3.5,3.0,3.5,3.0,3.0
251,2466,B76C582FA08B,3.0,3.0,3.0,3.0,3.0,3.5
252,1032,4EE0B81B9133,3.5,4.0,4.0,3.5,3.5,3.5
253,3041,D949A947DD92,3.0,3.0,3.5,3.0,3.0,3.5
254,1712,81B7A7CB8829,4.0,4.0,4.0,3.5,3.5,4.0
255,3704,F7B478DB88ED,3.5,3.5,4.0,3.5,4.0,3.5
256,1093,53CF6D801CAF,5.0,4.5,5.0,4.5,4.5,4.0
257,2682,C61946131A41,3.5,3.5,3.0,3.0,2.5,3.0
258,2672,C582EB969552,3.5,3.0,3.5,3.0,2.5,2.5
259,3042,D95A9CC4C62B,3.5,3.5,3.0,3.5,3.5,3.5
260,1148,5902C2E86345,3.0,3.0,2.5,3.0,2.0,3.0
261,589,2C8802241F51,2.5,2.5,2.5,2.5,3.5,2.5
262,3351,E7E6102C559E,2.5,2.5,4.0,3.0,2.5,2.5
263,1073,5241864FBC48,4.0,4.0,4.0,4.5,4.5,4.5
264,3542,F0BB52DD1DB6,3.0,4.0,4.0,3.5,3.0,3.0
265,880,43B0E1211D58,3.5,3.0,4.0,4.0,4.0,3.5
266,3238,E21BAA47A9F4,4.0,4.0,4.0,4.0,3.5,3.5
267,3404,E9FC757ED1E3,2.0,3.0,3.0,2.5,2.5,2.5
268,3195,E06EDBA28C44,3.5,3.0,3.0,2.0,2.0,2.5
269,618,2EC0647293F6,3.0,3.0,2.5,2.5,2.5,3.0
270,29,02B07248077F,2.5,2.0,3.0,2.0,2.5,2.0
271,2102,9DE684107A66,3.0,2.5,2.5,2.5,2.0,3.0
272,2165,A1CA2A691C98,3.0,4.0,4.0,4.0,3.5,3.5
273,1977,95671082C3A1,4.0,3.5,4.0,3.5,3.5,4.0
274,2794,CC2EC6C74865,4.0,3.0,4.0,4.0,3.0,4.0
275,1422,6D06DAD5446C,4.0,4.0,3.5,3.0,3.0,3.5
276,3870,FE7408E48786,4.0,4.0,3.5,4.0,3.5,3.5
277,228,10D60ACB3E5D,2.5,2.5,2.0,2.0,2.0,3.0
278,1791,876DD6D022A9,4.0,3.0,3.5,2.5,3.0,2.5
279,3610,F3A5981B0288,3.0,3.0,3.5,2.0,2.0,3.0
280,353,1AA55FB101FD,3.0,3.0,3.0,3.5,3.0,3.0
281,832,4025349AD977,3.0,4.0,3.5,3.0,3.5,3.5
282,3801,FB4D3D883D49,3.5,3.0,2.5,2.5,2.0,2.5
283,1367,692FAA1828D2,3.5,3.0,4.0,4.5,4.0,3.5
284,3170,DF058CBE24A6,3.0,3.0,3.5,3.0,2.5,3.0
285,2468,B794B3C07254,4.0,3.0,4.0,4.0,3.5,3.5
286,3512,EF6B8CD5EDE9,3.0,2.5,2.5,2.5,3.0,3.5
287,2793,CC24D88BEB8E,3.5,3.0,3.0,3.0,3.0,3.0
288,2064,9B5E142C63AC,4.0,4.5,4.0,4.5,4.5,4.5
289,2485,B8AD03895BE6,3.5,3.0,3.5,3.0,3.5,3.5
290,503,2637F9BEE7D3,2.5,2.5,2.5,3.0,2.5,2.0
291,1003,4D35A86F4929,2.5,2.0,3.0,2.5,3.0,2.0
292,3214,E110443F5184,2.5,2.5,3.0,3.0,2.5,2.5
293,1499,738112C600B8,3.0,3.5,4.0,3.5,3.5,3.0
294,113,08683001D359,2.0,2.0,2.5,3.0,2.5,2.0
295,722,37D67E614E05,2.0,3.0,3.0,3.0,3.0,4.0
296,3092,DB85B6DDB462,3.5,3.0,3.0,3.5,3.5,3.0
297,1385,6AB2B78CE0AF,3.0,3.5,4.0,4.0,3.5,3.5
298,2905,D1C5C7879A33,2.5,2.5,2.5,2.0,2.5,2.5
299,516,272CA21BAE13,3.5,3.0,3.0,3.0,2.5,2.5
300,3592,F2A721819364,3.0,3.0,3.5,3.5,3.5,3.5
301,1110,55AEC9A9BB4C,3.5,2.5,3.0,3.5,2.5,3.0
302,2172,A22EECAB91E9,3.5,2.5,3.0,3.0,2.5,3.5
303,1446,6EF7CBB46501,3.5,3.5,3.5,3.0,2.5,3.5
304,3250,E2687856AA7D,4.0,4.0,4.0,4.5,4.5,3.5
305,2104,9E1DFDF33C0B,3.5,3.0,3.0,3.5,4.0,3.5
306,2955,D43F13CE2638,3.5,3.0,4.0,4.0,3.5,3.5
307,44,03CC97D3747E,4.0,4.5,4.5,4.5,4.5,4.0
308,2980,D5C8C29F17D8,3.0,3.0,3.0,3.0,2.0,3.5
309,1826,89974AB1B1B1,3.5,3.5,4.0,3.5,4.0,4.0
310,425,205069BE2E53,2.0,2.5,3.0,3.0,3.0,2.0
311,3239,E21C97204867,3.5,4.0,3.0,3.0,3.5,3.5
312,2087,9CB69011AE54,2.5,2.0,2.5,3.0,2.0,2.0
313,1285,6269A525D482,4.0,3.5,3.0,3.5,3.5,4.0
314,1793,8773AAFA4355,3.5,3.5,3.5,3.5,3.5,4.0
315,2000,973A3ADFAB72,3.5,3.0,3.5,3.5,2.5,3.5
316,3566,F17DDEB77A2A,3.5,3.5,4.0,3.0,3.0,3.0
317,82,0607B495212F,2.0,2.5,3.0,2.0,3.0,3.0
318,995,4C1C3000E7C6,2.5,1.5,3.0,2.5,2.0,2.5
319,3448,EC3F3F26E635,2.5,2.0,3.0,2.5,3.0,3.0
320,2910,D22D2878F4C7,2.5,2.5,3.0,3.0,2.5,2.0
321,2404,B2C32E74812E,2.0,2.0,3.0,3.5,3.0,3.0
322,2209,A4C46FEBBCC4,3.5,3.0,3.0,2.5,3.5,3.0
323,2427,B469122B9ACB,2.0,2.0,3.0,2.5,2.5,2.0
324,2838,CE9843304D87,2.5,2.5,3.0,2.5,3.0,2.0
325,3804,FB68439D9CBA,3.0,3.0,3.0,2.5,2.0,3.0
326,2718,C825937F3BF1,3.0,3.5,3.5,3.5,3.5,4.0
327,2500,BA0D3D6A8A94,4.0,4.0,4.5,4.0,4.5,4.0
328,1371,698A3F2B43B9,4.0,3.0,4.0,3.5,3.5,3.0
329,456,227569D39F6D,3.5,3.0,3.0,3.0,2.5,3.5
330,2134,9FA1ED280D8E,3.0,2.5,2.5,2.5,3.0,2.5
331,1815,88FCD4D35128,3.5,3.0,3.0,3.0,3.0,3.0
332,3580,F1DF4F89F70D,3.5,3.0,3.0,3.0,3.5,3.0
333,655,32A1DC59F4EF,3.0,2.0,3.0,2.5,2.5,2.0
334,3255,E2C3F26AB94D,3.0,3.5,4.5,3.5,3.5,3.5
335,590,2C94D8BCF2F9,2.5,2.5,2.5,2.0,2.0,2.0
336,119,08FC0154E0EF,2.5,2.0,2.5,1.5,2.5,2.0
337,3373,E8B0698217A3,4.0,4.0,4.0,4.0,4.5,3.5
338,3442,EC047D97041F,2.0,2.5,2.5,2.5,2.5,2.0
339,1182,5BF6D0C37809,3.5,3.5,3.5,3.0,2.5,2.5
340,392,1DDA34D8E4D3,2.5,3.0,3.0,2.5,2.5,2.5
341,478,244973AE9715,5.0,4.5,5.0,4.5,5.0,4.0
342,909,45E5B6DE09E9,4.5,4.5,4.5,4.5,4.5,4.0
343,2626,C277BE295A41,3.5,3.5,3.5,3.5,4.5,3.5
344,132,0A3964629F69,2.5,3.0,2.0,2.5,2.5,2.0
345,1460,70B91D253E27,2.5,3.0,2.5,2.5,3.0,2.5
346,1212,5E3EA4C47C9A,4.0,4.0,3.0,3.5,3.5,3.0
347,1474,7203112033A1,3.5,3.5,3.5,3.5,3.5,4.0
348,723,37DD80EFE4D4,3.0,3.0,3.0,2.5,2.5,3.5
349,3849,FDA7648F8B49,2.5,2.0,2.0,2.0,2.0,2.0
350,1649,7D2D5053D947,3.5,3.0,3.5,4.0,2.5,3.5
351,3094,DB9BA6D8278F,3.0,3.0,3.0,3.0,3.0,3.5
352,653,327F36243259,4.0,3.0,3.5,4.0,4.0,3.5
353,1504,73A997703BC3,3.5,2.5,3.5,3.5,3.0,3.5
354,3598,F2C012ECBF9C,3.0,3.5,3.0,3.0,3.0,3.0
355,340,196EE083F6D0,2.5,2.0,2.5,2.5,2.5,2.0
356,3760,F9D0974B3AF7,2.5,2.5,3.0,3.0,2.5,2.5
357,2074,9BF717F45D68,3.0,3.0,3.0,2.5,3.5,3.0
358,2966,D5202DF530D1,2.5,3.0,2.5,2.5,3.0,3.0
359,2213,A5056E812783,2.5,3.0,3.0,2.0,2.5,2.5
360,906,4585DE769AE9,2.5,2.5,3.0,3.0,2.5,2.5
361,838,405CEC6E7F5D,3.0,3.5,4.0,3.5,3.5,3.5
362,3345,E792CBEB06C5,3.5,3.0,3.0,2.5,3.0,3.0
363,3276,E382BBC2D88E,3.0,2.5,3.0,3.0,3.0,3.0
